TestRecords,BMIStatus,nvarchar,50,NO,,NULL,NULL,NULL
TestRecords,BodyFat,float,NULL,NO,,NULL,NULL,NULL
TestRecords,BMR,float,NULL,NO,,NULL,NULL,NULL
TestRecords,CalorieIntake,float,NULL,NO,,NULL,NULL,NULL
TestRecords,VO2Max,float,NULL,NO,,NULL,NULL,NULL
TestRecords,Total,float,NULL,NO,,NULL,NULL,NULL
TestRecords,Grade,nvarchar,2,NO,,NULL,NULL,NULL
TestRecords,CreatedAt,datetime,NULL,YES,,NULL,NULL,NULL
TestRecords,SubmittedBy,nvarchar,20,NO,,NULL,NULL,NULL
TestRecords,Branch,nvarchar,50,NO,,NULL,NULL,NULL
TestRecords,Gender,nvarchar,10,NO,,NULL,NULL,NULL
TrainingLog,LogID,int,NULL,NO,PRIMARY KEY,NULL,NULL,NULL
TrainingLog,PlanID,int,NULL,YES,,FK_TrainingLog_TrainingPlan,TrainingPlan,PlanID
TrainingLog,BodyPartID,int,NULL,YES,,FK__TrainingL__BodyP__3F115E1A,BodyParts,BodyPartID
TrainingPlan,PlanID,int,NULL,NO,PRIMARY KEY,NULL,NULL,NULL
TrainingPlan,TR,int,NULL,NO,,FK_TrainingPlan_Master,Master,TR
TrainingPlan,CreatedAt,datetime,NULL,NO,,NULL,NULL,NULL
TrainingPlan,Branch,nvarchar,50,NO,,NULL,NULL,NULL
TrainingPlan,Gender,nvarchar,10,NO,,NULL,NULL,NULL
WaitingList,WaitingID,int,NULL,NO,PRIMARY KEY,NULL,NULL,NULL
WaitingList,TR,nvarchar,50,YES,,NULL,NULL,NULL
WaitingList,Name,nvarchar,100,YES,,NULL,NULL,NULL
WaitingList,Darajah,nvarchar,50,YES,,NULL,NULL,NULL
WaitingList,Goal,nvarchar,100,YES,,NULL,NULL,NULL
WaitingList,Branch,nvarchar,50,YES,,NULL,NULL,NULL
WaitingList,Gender,nvarchar,10,YES,,NULL,NULL,NULL
WaitingList,RequestedAt,datetime,NULL,YES,,NULL,NULL,NULL
WaitingList,SlotID,int,NULL,YES,,NULL,NULL,NULL
WeightTracking,LogID,int,NULL,NO,PRIMARY KEY,NULL,NULL,NULL
WeightTracking,TR,int,NULL,NO,,FK_WeightTracking_Master,Master,TR
WeightTracking,Weight,decimal,NULL,NO,,NULL,NULL,NULL
WeightTracking,CreatedAt,datetime,NULL,YES,,NULL,NULL,NULL
WorkoutPlan,TR,int,NULL,YES,,FK_WorkoutPlan_Master,Master,TR
WorkoutPlan,Day,varchar,20,YES,,NULL,NULL,NULL
WorkoutPlan,Content,nvarchar,-1,YES,,NULL,NULL,NULL
WorkoutPlan,Branch,nvarchar,50,YES,,NULL,NULL,NULL
WorkoutPlan,Gender,nvarchar,50,YES,,NULL,NULL,NULL
WorkoutPlan,WeekID,int,NULL,YES,,FK_WorkoutPlan_AttendanceWeek,AttendanceWeek,WeekID
